date,equity,coreValue,cashValue,wheelValue,leapsValue
2023-11-02,1278852.5653361552,608178.2242339235,31300,108083.99847104808,531290.3426311837
2023-11-03,1305361.0401330073,615323.5971108456,31300,109917.74997990976,548819.6930422519
2023-11-06,1314483.6191946617,617833.687717886,31300,110910.98748411683,554438.943992659
2023-11-07,1337752.2596259168,623673.8665897881,31300,112089.66433798002,570688.7286981487
2023-11-08,1339136.5544314524,624075.4647451788,31300,112311.35427974832,571449.7354065253
2023-11-09,1319755.89885514,619272.8328879096,31300,111670.36067857611,557512.7052886542
2023-11-10,1375256.8471968982,633195.481044595,31300,113500.76062301343,597260.6055292897
2023-11-13,1357840.8825201234,631220.837622101,31300,113800.58930650065,581519.4555915218
2023-11-14,1412459.7922688988,644808.7866040113,31300,114362.65879417319,621988.3468707144
2023-11-15,1414073.8928365181,645294.0850870579,31300,114418.22146729185,623061.5862821684
2023-11-16,1415830.2416328043,645846.3336186443,31300,114452.01337760802,624231.8946365518
2023-11-17,1415851.2227649456,645996.9329269158,31300,114473.32528889371,624080.9645491361
2023-11-20,1447123.9232384101,653861.8528548877,31300,114502.28712498708,647459.7832585353
2023-11-21,1431685.5824986803,650063.2674540194,31300,114502.28712498708,635820.027919674
2023-11-22,1441987.6391624464,652723.9573693312,31300,114502.28712498708,643461.3946681281
2023-11-24,1437583.3058592426,651803.611240586,31300,114502.28712498708,639977.4074936694
2023-11-27,1434552.0404490042,651234.6634978078,31300,114502.28712498708,637515.0898262092
2023-11-28,1441139.82371239,652941.5067261426,31300,114502.28712498708,642396.0298612602
2023-11-29,1437931.8585621044,652305.6089348245,31300,114502.28712498708,639823.9625022927
2023-11-30,1430993.722469362,650665.6646871055,31300,114502.28712498708,634525.7706572694
2023-12-01,1436562.4064781328,653273.1582916359,31450,114982.28712498708,636856.9610615098
2023-12-04,1408764.720292003,647208.5185306492,31450,114982.28712498708,615123.9146363664
2023-12-05,1415667.2672763697,648833.5781732303,31450,114982.28712498708,620401.4019781523
2023-12-06,1397628.2719736397,645080.8330788433,31450,114982.28712498708,606115.1517698093
2023-12-07,1436738.6812533715,654094.0473154295,31450,114982.28712498708,636212.3468129549
2023-12-08,1449603.4146277625,657009.1338543957,31450,114982.28712498708,646161.9936483798
2023-12-11,1474144.3982006619,662621.4052744178,31450,114982.28712498708,665090.705801257
2023-12-12,1498065.7146442258,667898.695074865,31450,114982.28712498708,683734.7324443735
2023-12-13,1537194.1524361465,676392.5139705993,31450,114982.28712498708,714369.3513405602
2023-12-14,1533911.4352955478,675806.1938831013,31450,114982.28712498708,711672.9542874594
2023-12-15,1548679.8145431099,679073.0315732696,31450,114982.28712498708,723174.495844853
2023-12-18,1557663.8490111302,681988.0669856151,31450,114982.28712498708,729243.4949005279
2023-12-19,1573496.811356952,685472.755207073,31450,114982.28712498708,741591.7690248918
2023-12-20,1525111.3217453195,675286.7985422494,31450,114982.28712498708,703392.236078083
2023-12-21,1562027.8506939458,683144.0398822253,31450,114982.28712498708,732451.5236867333
2023-12-22,1566076.1583923814,684166.0099056815,31450,114982.28712498708,735477.8613617129
2023-12-26,1582781.4457153012,688354.302682785,31450,114982.28712498708,747994.8559075291
2023-12-27,1587441.5808661324,689392.9911112473,31450,114982.28712498708,751616.3026298978
2023-12-28,1584825.9797337668,689057.9072384308,31450,114982.28712498708,749335.7853703488
2023-12-29,1569785.5298247337,686075.8448261978,31450,114982.28712498708,737277.3978735487
2024-01-02,1514858.827681623,675215.9095184557,31600,115462.28712498708,692580.6310381802
2024-01-03,1480587.6516974755,668071.1061338236,31600,115462.28712498708,665454.2584386646
2024-01-04,1463220.3459104858,664632.9075081196,31600,115004.7623918164,651982.6760105498
2024-01-05,1466866.205520898,665421.1841781775,31600,115254.00686116543,654591.0144815551
2024-01-08,1534510.5689601633,679174.0810479398,31600,117181.252378616,706555.2355336074
2024-01-09,1538405.970802329,680515.8046132212,31600,117404.27785964697,708885.8883294608
2024-01-10,1561206.0617318018,685128.0497461512,31600,117828.1771867699,726649.8347988806
2024-01-11,1567894.1143862375,686553.6630239333,31600,117978.49992236627,731761.9514399379
2024-01-12,1568469.0623478075,686905.8565027119,31600,118068.2225891425,731894.983255953
2024-01-16,1567064.5341222463,686838.7549694058,31600,118357.78537498994,730267.9937778505
2024-01-17,1547546.0986787565,682964.4731524225,31600,118219.97264509709,714761.6528812369
2024-01-18,1596326.5158958638,692658.5717844783,31600,118656.66632108085,753411.2777903046
2024-01-19,1665788.2222539657,706394.6804750459,31600,118902.2005686914,808891.3412102285
