date,equity
2014/2/26,55684.1217
2014/2/27,55814.12457
2014/2/28,55780.12246
2014/3/3,57133.12356
2014/3/4,57397.12293
2014/3/5,57453.12469
2014/3/6,57427.12336
2014/3/7,57329.12657
2014/3/10,57343.12329
2014/3/11,57259.12309
2014/3/12,57334.12309
2014/3/13,57047.12644
2014/3/14,56914.1232
2014/3/17,57083.12669
2014/3/18,57317.12632
2014/3/19,57206.12664
2014/3/20,57258.12516
2014/3/21,57013.12318
2014/3/24,56851.12347
2014/3/25,56909.12835
2014/3/26,56668.13352
2014/3/27,56560.1348
2014/3/28,56599.13525
2014/3/31,56719.1354
2014/4/1,58552.13067
2014/4/2,58603.13154
2014/4/3,58449.13644
2014/4/4,57943.13582
2014/4/7,57767.13895
2014/4/8,57926.13915
2014/4/9,58226.1391
2014/4/10,57658.13627
2014/4/11,57463.13581
2014/4/14,57584.13934
2014/4/15,57639.13736
2014/4/16,57855.13773
2014/4/17,57858.1378
2014/4/21,57989.13946
2014/4/22,58134.13782
2014/4/23,57969.13748
2014/4/24,58143.13745
2014/4/25,57850.13609
2014/4/28,57912.13731
2014/4/29,58041.12033
2014/4/30,58094.12973
2014/5/1,59648.14411
2014/5/2,59618.15545
2014/5/5,59704.16841
2014/5/6,59467.17253
2014/5/7,59414.17676
2014/5/8,59394.17512
2014/5/9,59462.17717
2014/5/12,59749.17372
2014/5/13,59762.17719
2014/5/14,59670.17534
2014/5/15,59529.17556
2014/5/16,59640.17524
2014/5/19,59770.17383
2014/5/20,59702.17704
2014/5/21,59875.17394
2014/5/22,59953.17401
2014/5/23,60096.17538
2014/5/27,60341.17679
2014/5/28,60277.17399
2014/5/29,60413.17729
2014/5/30,60407.17715
2014/6/2,61890.17524
2014/6/3,61880.39092
2014/6/4,61952.35442
2014/6/5,62131.02162
2014/6/6,62244.8335
2014/6/9,62232.31761
2014/6/10,62273.3655
2014/6/11,62262.4887
2014/6/12,62074.74582
2014/6/13,62122.76224
2014/6/16,62148.82514
2014/6/17,62158.83796
2014/6/18,62287.83293
2014/6/19,62259.84592
2014/6/20,62285.85318
2014/6/23,62293.85469
2014/6/24,62273.85817
2014/6/25,62404.85531
2014/6/26,62424.85678
2014/6/27,62497.85522
2014/6/30,62552.8584
2014/7/1,64303.85537
2014/7/2,64333.85548
2014/7/3,64482.85699
2014/7/7,64406.85849
2014/7/8,64135.40862
2014/7/9,64305.9586
2014/7/10,64233.6314
2014/7/11,64367.09118
2014/7/14,64516.08188
2014/7/15,64433.17344
2014/7/16,64522.15105
2014/7/17,64205.24902
2014/7/18,64566.18489
2014/7/21,64537.23715
2014/7/22,64695.22234
2014/7/23,64847.19754
2014/7/24,64818.22569
2014/7/25,64717.24788
2014/7/28,64727.25951
2014/7/29,64686.25908
2014/7/30,64783.25753
2014/7/31,64283.26085
2014/8/1,65694.259
2014/8/4,65850.25914
2014/8/5,65668.25745
2014/8/6,65655.25925
2014/8/7,65582.26082
2014/8/8,65742.25895
2014/8/11,65881.25775
2014/8/12,65863.34963
2014/8/13,66115.89277
2014/8/14,66239.57912
2014/8/15,66350.23006
2014/8/18,66549.73985
2014/8/19,66694.78692
2014/8/20,66695.22824
2014/8/21,66744.18617
2014/8/22,66778.29724
2014/8/25,66875.73375
2014/8/26,66905.91339
2014/8/27,66907.2983
2014/8/28,66871.80069
2014/8/29,66974.59121
2014/9/2,68549.3227
2014/9/3,68395.59389
2014/9/4,68367.63611
2014/9/5,68503.62763
2014/9/8,68548.65789
2014/9/9,68330.66185
2014/9/10,68533.65887
2014/9/11,68526.66023
2014/9/12,68385.66044
2014/9/15,68120.66162
2014/9/16,68346.54734
2014/9/17,68389.19657
2014/9/18,68572.60143
2014/9/19,68555.09393
2014/9/22,68321.68406
2014/9/23,68247.47199
2014/9/24,68523.86461
2014/9/25,67962.64401
2014/9/26,68228.5507
2014/9/29,68201.27633
2014/9/30,68233.64533
2014/10/1,69320.71116
2014/10/2,69316.78116
2014/10/3,69564.5431
2014/10/6,69506.85666
2014/10/7,69150.89791
2014/10/8,69616.82902
2014/10/9,69191.89994
2014/10/10,68584.89874
