type,date,qty,strike,premiumPerContract
stage2_sell_call,2015-07-08,5.931310759456292,104,512.2503169386177
stage2_called_away,2015-08-10,,104,
stage2_sell_put,2015-08-11,6.384397851365943,105,220.81039373956025
stage2_stop_loss,2015-09-14,,,
stage2_sell_put,2015-11-13,6.448471884494601,100,641.2765809489536
stage2_put_expired,2015-12-16,6.448471884494601,100,
stage2_sell_put,2015-12-17,6.518865362960393,106,382.85280141184614
stage2_stop_loss,2016-01-19,,,
stage2_sell_put,2016-04-26,6.350497482327382,92,366.5001646772737
stage2_put_expired,2016-05-31,6.350497482327382,92,
stage2_sell_put,2016-06-13,6.856892801163057,90,156.29385911064304
stage2_put_expired,2016-07-18,6.856892801163057,90,
stage2_sell_put,2016-09-09,6.116545280749454,105,268.52669543919706
stage2_put_expired,2016-10-12,6.116545280749454,105,
stage2_sell_put,2016-10-12,5.769233142575056,115,156.11932507069815
stage2_sell_call,2016-11-14,5.769233142575056,115,546.5701619533079
stage2_called_away,2016-12-19,,115,
stage2_sell_put,2016-12-30,6.099159027101805,117,195.55941179289073
stage2_sell_call,2017-02-01,6.099159027101805,117,0.01619602873747716
stage2_roll_call,2017-03-06,6.099159027101805,117,0.3386004094137751
stage2_roll_call,2017-04-10,6.099159027101805,117,0.9928313844195458
stage2_roll_call,2017-05-15,6.099159027101805,117,51.31767952693291
stage2_roll_call,2017-06-19,6.099159027101805,117,101.95213944631263
stage2_roll_call,2017-07-24,6.099159027101805,117,438.39417717154777
stage2_roll_call,2017-08-28,6.099159027101805,117,239.00831131117144
stage2_roll_call,2017-10-02,6.099159027101805,117,403.2975315865997
stage2_called_away,2017-11-06,,117,
stage2_sell_put,2017-12-04,7.153942187352455,120,149.68817392046924
stage2_put_expired,2018-01-08,7.153942187352455,120,
stage2_sell_put,2018-02-02,5.897863542992406,149,212.09227931864376
stage2_put_expired,2018-03-07,5.897863542992406,149,
stage2_sell_put,2018-03-19,5.856801183825519,153,703.6373285352461
stage2_sell_call,2018-04-23,5.856801183825519,153,1243.574429968679
stage2_roll_call,2018-05-29,5.856801183825519,153,0.0003248622372210795
stage2_roll_call,2018-07-02,5.856801183825519,153,4.900824462399616e-8
stage2_roll_call,2018-08-06,5.856801183825519,153,7.05056088260848e-9
stage2_roll_call,2018-09-10,5.856801183825519,153,7.590233760983494e-9
stage2_roll_call,2018-10-15,5.856801183825519,153,5.408361376196684e-8
stage2_roll_call,2018-11-19,5.856801183825519,153,0.00017545965086004123
stage2_roll_call,2018-12-24,5.856801183825519,153,0.000011488142487952292
stage2_roll_call,2019-01-28,5.856801183825519,153,0.009037314840551501
stage2_roll_call,2019-03-04,5.856801183825519,153,0.005616546308997994
stage2_roll_call,2019-04-08,5.856801183825519,153,2.730952138814836e-9
stage2_roll_call,2019-05-13,5.856801183825519,153,3.647046951561928e-12
stage2_roll_call,2019-06-17,5.856801183825519,153,0.0000012745073114411254
stage2_roll_call,2019-07-22,5.856801183825519,153,0.00015518503828029857
stage2_roll_call,2019-08-26,5.856801183825519,153,0.0001686770513745171
stage2_roll_call,2019-09-30,5.856801183825519,153,0.00011809817813557632
stage2_roll_call,2019-11-04,5.856801183825519,153,0.003530742282344384
stage2_roll_call,2019-12-09,5.856801183825519,153,3.9973314493631966e-7
stage2_roll_call,2020-01-13,5.856801183825519,153,0.002072265489601495
stage2_roll_call,2020-02-18,5.856801183825519,153,4.246747178624588
stage2_roll_call,2020-03-23,5.856801183825519,153,0.5447720583715892
stage2_roll_call,2020-04-27,5.856801183825519,153,56.472544513771304
stage2_roll_call,2020-06-01,5.856801183825519,153,214.1240547672778
stage2_roll_call,2020-07-06,5.856801183825519,153,223.18704385580457
stage2_roll_call,2020-08-10,5.856801183825519,153,300.3088077014141
stage2_roll_call,2020-09-14,5.856801183825519,153,518.9449946765351
stage2_roll_call,2020-10-19,5.856801183825519,153,957.5140960010679
stage2_roll_call,2020-11-23,5.856801183825519,153,1376.8062798238211
stage2_called_away,2020-12-28,,153,
stage2_sell_put,2021-01-29,16.71367795943379,83,371.5491636093951
stage2_put_expired,2021-03-03,16.71367795943379,83,
stage2_sell_put,2021-03-03,18.704292324354473,78,374.00869614328053
stage2_put_expired,2021-04-05,18.704292324354473,78,
